Round,Round name,Round description,Song,Artist,Album,Song votes,Song voters,Song rank,Song person submitted,Song person submitted comment,Votes and comments
2,women do it best 🫶🏻,fav song by a female artist !,Another Sad Love Song,Toni Braxton,Toni Braxt,20,12,10th,Tatami,,"HippyHippyShake
4
Dina B
3
Terry L.
2
Heavy Metal Zebra
2
Sjr
2
JJdaPanda
1
[Left the league]
1
JacAttac
1
[Left the league]
1
N2N0
1
Duncan Moreland
1
ThenerB
1
JustRimmey
I do love some Toni from time to time, but it was not bangerish enough for my tastes."
2,women do it best 🫶🏻,fav song by a female artist !,Emotion,Destiny's Child,Survivor,18,9,11th,Terry L.,"Not solo artist, but didn't mention it had to be.","Corgi
4
Tatami
3
[Left the league]
3
JJdaPanda
2
Dina B
2
Heavy Metal Zebra
1
Sjr
1
Duncan Moreland
1
[Left the league]
1
JustRimmey
I think this is a good song, I think its too mellow for me to be a banger. I would have to be in a very niche mood to get into it."
2,women do it best 🫶🏻,fav song by a female artist !,Lose You To Love Me,Selena Gomez,Rare,14,6,12th,JJdaPanda,,"HippyHippyShake
4
ThenerB
4
N2N0
2
Dina B
2
Matthew J. Hobbs
1
Terry L.
1"
2,women do it best 🫶🏻,fav song by a female artist !,the me u kno,tiLLie,the me u k,13,8,13th,Marina,,"JustRimmey
I have never heard this before, but I will definitely listen to it again and again.  This for me, is a certified banger!
3
Terry L.
3
Heavy Metal Zebra
2
JJdaPanda
1
Duncan Moreland
1
ThenerB
1
JacAttac
1
[Left the league]
1"
2,women do it best 🫶🏻,fav song by a female artist !,She's in Love with You - 2017 Remaster,Suzi Quatro,Suzi… and Other Four Letter Words (2017 Remaster,12,11,14th,Matthew J. Hobbs,,"JustRimmey
This song is an example of why I hate american music charts, she was HUGE in the UK, and got limited airtime in the US.  I DECLARE THIS A BANGER!
2
JJdaPanda
1
Heavy Metal Zebra
1
Sjr
1
Dina B
1
ThenerB
1
[Left the league]
1
JacAttac
1
[Left the league]
1
Mooly
1
Terry L.
1"
2,women do it best 🫶🏻,fav song by a female artist !,Earth (Dradada),Jerry Heil,Earth (Dradada,10,7,15th,Corgi,,"Mooly
4
JJdaPanda
1
Duncan Moreland
1
ThenerB
1
JustRimmey
I have no idea what to think about this song, but it got me movin while doing the dishes, so I must VOTE!
1
JacAttac
1
[Left the league]
1"
2,women do it best 🫶🏻,fav song by a female artist !,"Racist, Sexist Boy",The Linda Lindas,Growing Up,9,8,16th,JustRimmey,Banger,"Heavy Metal Zebra
2
JJdaPanda
1
Tatami
1
Duncan Moreland
1
Dina B
1
ThenerB
1
[Left the league]
1
JacAttac
1"
2,women do it best 🫶🏻,fav song by a female artist !,I Dream of Jeannie - With the Light Brown Hair,Stina Nordenstam,People Are Strange,9,5,17th,Duncan Moreland,[Left the league],"5
JJdaPanda
1
Sjr
1
N2N0
1
JacAttac
1
JustRimmey
I think this was an interesting song. I think I'm going to double back and listen to it again to see if I have a fuller opinion after a second go through."
2,women do it best 🫶🏻,fav song by a female artist !,in to yang,runo plum,yin to ya,8,5,18th,[Left the league],,"HippyHippyShake
4
JJdaPanda
1
N2N0
1
Duncan Moreland
1
JacAttac
1
JustRimmey
I thought this was good, but way too mellow for my usual musical tastes."
2,women do it best 🫶🏻,fav song by a female artist !,Edge of Seventeen - 2016 Remaster,Stevie Nicks,Bella Donna (2016 Remastered,40 0,15,19th,EJ Gunter,Did not vote,"Mooly
5
HippyHippyShake
4
Heavy Metal Zebra
School of Rock! 
4
N2N0
3
Marina
3
Dina B
3
Matthew J. Hobbs
3
[Left the league]
3
Sjr
3
[Left the league]
2
JacAttac
2
Duncan Moreland
2
JJdaPanda
1
JustRimmey
Yeah, ok, I now had to go reallocate votes, because this is the more banger-ish of the Stevie Nicks submissions. 
1
ThenerB
1"
2,women do it best 🫶🏻,fav song by a female artist !,Good Books,Lola Young,Good Book,14 0,10,20th,rena :),Did not vote,"this song speaks to me at volumes i can’t begin to explain
JustRimmey
I'm a big fan of the beat, and I'm loving her voice! The lyrics just keep getting better throughout the song!  I declare thee a banger!
3
Marina
3
JJdaPanda
1
Tatami
1
Sjr
1
Dina B
1
ThenerB
1
JacAttac
1
Matthew J. Hobbs
1
Mooly
1""
https://app.musicleague.com/l/fe4049a5bec34a9892e2fd5135a35ad3/2776396105a54c1e91e6763c60b24109/,""OPEN"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",like JENNIE,JENNIE,Rub,41,12,1st,ThenerB,,"JJdaPanda
13
Corgi
6
Mooly
5
HippyHippyShake
3
Dina B
3
Tatami
2
N2N0
2
JacAttac
2
Matthew J. Hobbs
2
Heavy Metal Zebra
1
Duncan Moreland
1
JustRimmey
I liked this more than I thought I would!
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Iris,The Goo Goo Dolls,Dizzy up the Girl,40,17,2nd,[Left the league],[Left the league],"LOVE this song :)
5
Heavy Metal Zebra
4
JJdaPanda
4
Marina
3
Mooly
3
Terry L.
3
N2N0
2
Tatami
2
HippyHippyShake
2
rena :)
2
[Left the league]
2
Sjr
2
JacAttac
2
JustRimmey
Classic
1
ThenerB
1
Dina B
1
Duncan Moreland
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Buddy Holly,Weezer,Weezer,38,15,3rd,Sjr,[Left the league],"5
Mooly
5
Dina B
3
JacAttac
3
Heavy Metal Zebra
3
[Left the league]
3
Tatami
3
N2N0
2
Duncan Moreland
2
rena :)
2
HippyHippyShake
2
Matthew J. Hobbs
2
Terry L.
1
JustRimmey
Well played. A point for you sir, madam, or them!
1
[Left the league]
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Charlene,Anthony Hamilton,Comin' From Where I'm From,32,8,4th,Tatami,,"EJ Gunter
24
JustRimmey
God, this album start to finish is a banger!!
2
Sjr
1
[Left the league]
1
Dina B
1
Corgi
1
[Left the league]
1
[Left the league]
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Jessie's Girl,Rick Springfield,Working Class D,31,15,5th,JacAttac,,"rena :)
one of my favssss
6
[Left the league]
3
Marina
3
Heavy Metal Zebra
3
Dina B
2
Sjr
2
Tatami
2
N2N0
2
[Left the league]
2
JJdaPanda
1
Terry L.
1
Matthew J. Hobbs
1
JustRimmey
My dad rock vibes wouldn't let me not vote for this
1
ThenerB
Classic 
1
Duncan Moreland
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Hey There Delilah,Plain White T's,All That We Needed,29,13,6th,JJdaPanda,[Left the league],"4
rena :)
4
Dina B
3
JacAttac
3
Heavy Metal Zebra
3
Sjr
2
Tatami
2
N2N0
2
[Left the league]
2
Terry L.
1
Marina
1
ThenerB
Classic 
1
Duncan Moreland
1
JustRimmey
Ugh, I get it, I just have never liked this song."
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Scotty Doesn't Know,Lustra,Left for Dead,27,13,7th,rena :),,"Duncan Moreland
3
Dina B
3
ThenerB
🤣🤣 well played 
3
Terry L.
2
JustRimmey
I love this for more than the meme!
2
HippyHippyShake
2
JacAttac
2
Heavy Metal Zebra
2
[Left the league]
2
Tatami
2
Sjr
2
Matthew J. Hobbs
1
[Left the league]
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name","If I'm James Dean, You're Audrey Hepburn",Sleeping With Sirens,With Ears To See And Eyes To Hear,27,12,8th,JustRimmey,,"rena :)
THIS IS SUCH A GOODIE !! OMG LOVE THE SWS APPRECIATION !!!!
5
Heavy Metal Zebra
3
Duncan Moreland
3
ThenerB
3
JacAttac
3
JJdaPanda
2
Matthew J. Hobbs
2
Marina
2
Tatami
1
Sjr
1
N2N0
1
[Left the league]
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Valerie,Steve Winwood,Talking Back To The Night,27,11,9th,Terry L.,,"Mooly
5
Marina
5
[Left the league]
3
Matthew J. Hobbs
3
Sjr
2
[Left the league]
2
N2N0
2
JustRimmey
ValeriEEEEEEEEEEEEEEEEE CALL ME! This is an absolute gem!
2
Heavy Metal Zebra
1
Tatami
1
Dina B
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Jackie and Wilson,Hozier,Hozier (Expanded Editi,25,14,10th,Dina B,,"HippyHippyShake
3
rena :)
3
[Left the league]
3
Tatami
2
JJdaPanda
2
N2N0
2
Terry L.
2
JacAttac
2
[Left the league]
1
Matthew J. Hobbs
1
Mooly
1
Heavy Metal Zebra
1
Sjr
1
Duncan Moreland
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Go Gina,SZA,Ctrl,23,14,11th,EJ Gunter,Yuppppp,"JacAttac
3
Mooly
3
HippyHippyShake
3
Terry L.
2
[Left the league]
Bonus point because my name is Gina :)
2
Corgi
2
Tatami
1
[Left the league]
1
Duncan Moreland
1
Matthew J. Hobbs
1
rena :)
1
JustRimmey
This might convert me to a SZA fan!
1
[Left the league]
1
ThenerB
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Johnny,CARR,Joh,21,12,12th,Marina,,"N2N0
3
[Left the league]
3
HippyHippyShake
2
Sjr
2
[Left the league]
2
JustRimmey
New to me artist, I loved it, and am digging in for more!
2
Corgi
2
Tatami
1
Duncan Moreland
1
Dina B
1
ThenerB
1
Terry L.
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Laura,Scissor Sisters,Scissor Sister,21,10,13th,Mooly,[Left the league],"5
HippyHippyShake
4
ThenerB
3
Sjr
2
JustRimmey
Oh man, it's been a HOOOOOOOOOT minute since I've listened to the Scissor sisters! This is a bop!
2
Heavy Metal Zebra
1
[Left the league]
1
Duncan Moreland
1
Dina B
1
Matthew J. Hobbs
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Valerie,The Zutons,Tired Of Hanging Around,21,10,14th,Matthew J. Hobbs,,"ThenerB
Love this version
5
[Left the league]
4
Sjr
2
N2N0
2
Duncan Moreland
2
JacAttac
2
Heavy Metal Zebra
1
Tatami
1
Dina B
1
JustRimmey
This was a good cover, it's hard for me to love other people doing it.  We'll see if I still have a vote sticking around at the end for it.
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Intergalactic Janet,Ley Soul,Intergalactic Janet,21,8,15th,Duncan Moreland,,"Corgi
8
Tatami
Never heard this before, but it's right up my alley.
3
Terry L.
3
ThenerB
2
Marina
2
[Left the league]
1
[Left the league]
1
Matthew J. Hobbs
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Angus Mcfife,Gloryhammer,Tales from the Kingdom of Fife,20,8,16th,Heavy Metal Zebra,,"JustRimmey
I'm glad to see there's more than 1 person who recommends Gloryhammer on here! Hoots!!!!!!!
5
Corgi
4
Matthew J. Hobbs
4
Sjr
2
ThenerB
2
N2N0
1
Duncan Moreland
1
Marina
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Bella,AIDAN,Bella,13,9,17th,Corgi,,"HippyHippyShake
3
Marina
3
JJdaPanda
1
Heavy Metal Zebra
1
Sjr
1
N2N0
1
Duncan Moreland
Funny looking dude 
1
JustRimmey
I loved the epic build throughout!
1
Matthew J. Hobbs
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Justin's Headed Out,mercury,Justin's Headed Out,13,7,18th,[Left the league],,"Duncan Moreland
3
Terry L.
3
Marina
3
[Left the league]
1
JustRimmey
I enjoyed this one quite a bit.
1
Corgi
1
Matthew J. Hobbs
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Evangeline,Stephen Sanchez,Evangeline,13,6,19th,N2N0,[Left the league],"4
Terry L.
3
Dina B
2
Mooly
2
JJdaPanda
1
Matthew J. Hobbs
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Velvet Elvis,Kacey Musgraves,Golden Hour,11,9,20th,HippyHippyShake,,"JacAttac
2
Terry L.
2
Sjr
1
[Left the league]
1
N2N0
1
Dina B
1
rena :)
1
Matthew J. Hobbs
1
Marina
1"
1,name in the title,"girls name, guys name, singers name, youuuu name it !! any song titles containing a name",Bobby James,N.E.R.D,In Search Of...,10,10,21st,[Left the league],,"Tatami
1
Sjr
1
[Left the league]
1
N2N0
1
Duncan Moreland
1
Dina B
1
ThenerB
1
JustRimmey
I want a new NERD album!
1
Matthew J. Hobbs
1
[Left the league]
1""
""
""
""
""
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
=
="
